time,wx,wy,wz,ax,ay,az,Bx,By,Bz
 448,-15,-6,2,-48,-194,4040,-2,-12,-96
 449,-13,-5,2,-54,-186,4070,-27,-10,-55
 450,-14,-4,2,-55,-186,4068,-10,0,-70
 451,-14,-6,2,-60,-196,4076,2,-12,-90
 452,-14,-7,2,-51,-199,4057,-7,-13,-91
 453,-14,-7,2,-37,-198,4055,-15,-6,-101
 454,-13,-5,2,-40,-194,4068,-2,-13,-88
 455,-15,-7,2,-47,-197,4055,-7,8,-67
 456,-15,-4,3,-52,-190,4093,-6,-28,-87
 457,-14,-4,3,-72,-198,4046,-9,-3,-76
 458,-15,-6,2,-32,-196,4063,2,-16,-76
 459,-15,-6,2,-44,-195,4050,-33,-6,-91
 460,-14,-5,3,-57,-188,4054,-14,4,-52
 461,-16,-6,3,-48,-199,4081,-2,-17,-77
 462,-16,-7,4,-44,-191,4057,8,4,-79
 463,-15,-7,3,-49,-198,4102,9,-3,-97
 464,-15,-6,3,-40,-198,4063,-14,14,-108
 465,-15,-5,4,-39,-183,4078,-9,-4,-94
 466,-17,-6,2,-61,-192,4067,-6,-1,-106
 467,-16,-5,1,-54,-203,4056,-26,-8,-92
 468,-16,-7,1,-45,-199,4076,-22,-4,-76
 469,-15,-6,4,-54,-205,4051,2,3,-83
 470,-14,-6,4,-52,-178,4055,13,-4,-65
 471,-15,-6,3,-56,-194,4036,-15,-2,-82
 472,-15,-7,1,-47,-185,4070,-8,0,-79
 473,-15,-5,2,-41,-191,4034,-33,-13,-58
 474,-13,-6,2,-49,-175,4053,-11,0,-81
 475,-14,-6,2,-43,-183,4069,-18,26,-88
 476,-13,-5,2,-49,-179,4076,-4,-5,-61
 477,-14,-6,3,-49,-181,4077,-13,-19,-28
 478,-15,-4,3,-38,-192,4054,-7,32,-90
 479,-14,-5,5,-57,-193,4080,-19,-18,-94
 480,-14,-6,4,-45,-186,4100,-21,-11,-80
 481,-16,-7,3,-58,-172,4053,-12,0,-78
 482,-14,-7,3,-44,-195,4034,-10,9,-85
 483,-15,-7,2,-38,-181,4044,-27,-5,-84
 484,-12,-5,3,-60,-185,4059,-30,-9,-90
 485,-14,-6,2,-49,-207,4025,2,11,-73
 486,-14,-6,4,-44,-196,4061,7,-12,-105
 487,-15,-6,3,-47,-186,4078,-27,-41,-102
 488,-18,-6,3,-46,-192,4071,-12,3,-79
 489,-16,-7,3,-42,-192,4059,-9,-6,-77
